25225201
3
1 2 0.27 0
4 2 0.27 0
5 0 0.27 0
0 79 0.71 1352400 1359750
1 67 0.71 1352400 1359750
0 72 0.71 1359750 1367100
1 60 0.71 1359750 1367100
0 74 0.71 1367100 1374450
1 62 0.71 1367100 1374450
0 77 0.71 1374450 1381800
1 65 0.71 1374450 1381800
0 70 0.71 1381800 1389150
1 58 0.71 1381800 1389150
0 74 0.71 1389150 1396500
1 62 0.71 1389150 1396500
0 77 0.71 1396500 1403850
1 65 0.71 1396500 1403850
0 70 0.71 1403850 1411200
1 58 0.71 1403850 1411200
0 72 0.71 1411200 1418550
1 60 0.71 1411200 1418550
0 76 0.71 1418550 1425900
1 64 0.71 1418550 1425900
0 69 0.71 1425900 1433250
1 57 0.71 1425900 1433250
0 72 0.71 1433250 1440600
1 60 0.71 1433250 1440600
0 76 0.71 1440600 1447950
1 64 0.71 1440600 1447950
0 69 0.71 1447950 1455300
1 57 0.71 1447950 1455300
0 70 0.71 1455300 1462650
1 58 0.71 1455300 1462650
0 74 0.71 1462650 1470000
1 62 0.71 1462650 1470000
0 67 0.71 1470000 1477350
1 55 0.71 1470000 1477350
0 70 0.71 1477350 1484700
1 58 0.71 1477350 1484700
0 74 0.71 1484700 1492050
1 62 0.71 1484700 1492050
0 67 0.71 1492050 1499400
1 55 0.71 1492050 1499400
0 69 0.71 1499400 1506750
1 57 0.71 1499400 1506750
0 72 0.71 1506750 1514100
1 60 0.71 1506750 1514100
0 65 0.71 1514100 1521450
1 53 0.71 1514100 1521450
0 69 0.71 1521450 1528800
1 57 0.71 1521450 1528800
0 72 0.71 1528800 1536150
1 60 0.71 1528800 1536150
0 65 0.71 1536150 1543500
1 53 0.71 1536150 1543500
0 67 0.71 1543500 1550850
1 55 0.71 1543500 1550850
0 70 0.71 1550850 1558200
1 58 0.71 1550850 1558200
0 64 0.71 1558200 1565550
1 52 0.71 1558200 1565550
0 67 0.71 1565550 1572900
1 55 0.71 1565550 1572900
0 70 0.71 1572900 1580250
1 58 0.71 1572900 1580250
0 64 0.71 1580250 1587600
1 52 0.71 1580250 1587600
0 65 0.71 1587600 1594950
1 53 0.71 1587600 1594950
0 69 0.71 1594950 1602299
1 57 0.71 1594950 1602299
0 62 0.71 1602299 1609649
1 50 0.71 1602299 1609649
0 65 0.71 1609649 1616999
1 53 0.71 1609649 1616999
0 69 0.71 1616999 1624349
1 57 0.71 1616999 1624349
0 62 0.71 1624349 1631699
1 50 0.71 1624349 1631699
0 64 0.71 1631699 1639049
1 52 0.71 1631699 1639049
0 67 0.71 1639049 1646399
1 55 0.71 1639049 1646399
0 61 0.71 1646399 1653749
1 49 0.71 1646399 1653749
0 64 0.71 1653749 1661099
1 52 0.71 1653749 1661099
0 67 0.71 1661099 1668449
1 55 0.71 1661099 1668449
0 61 0.71 1668449 1675799
1 49 0.71 1668449 1675799
