3969001
2
4 2 0.4 0.02
5 0 0.4 0.02
0 77 0.5 639450 683504
0 49 0.5 661500 683504
0 61 0.5 661500 683504
1 68 0.63 678037 683504
1 68 0.63 683550 690854
1 66 0.63 690900 698204
0 77 0.5 683550 705554
0 49 0.5 683550 705554
0 61 0.5 683550 705554
1 68 0.63 698250 705554
1 49 0.5 683550 705554
0 75 0.5 705600 716579
1 66 0.63 705600 716579
0 75 0.5 716625 722091
1 66 0.63 716625 722091
0 77 0.5 722137 727604
0 47 0.63 705600 727604
0 59 0.5 705600 727604
1 65 0.63 722137 727604
0 47 0.5 727650 734954
0 59 0.5 727650 734954
1 66 0.63 727650 738629
0 47 0.5 735000 742304
0 59 0.5 735000 742304
1 66 0.63 738675 744141
0 46 0.5 742350 749654
0 58 0.5 742350 749654
1 68 0.63 744187 749654
0 78 0.5 727650 771704
0 47 0.5 749700 771704
0 59 0.5 749700 771704
1 70 0.63 749700 771704
0 47 0.5 771750 779054
0 59 0.5 771750 779054
0 77 0.5 771750 782729
1 68 0.63 771750 782729
0 47 0.5 779100 786404
0 59 0.5 779100 786404
0 75 0.5 782775 793754
0 47 0.5 786450 793754
0 59 0.5 786450 793754
1 66 0.63 782775 793754
1 47 0.5 786450 793754
0 73 0.5 793800 804779
1 65 0.63 793800 804779
0 73 0.5 804825 810291
1 65 0.63 804825 810291
0 75 0.5 810337 815804
0 46 0.63 793800 815804
0 58 0.5 793800 815804
1 63 0.63 810337 815804
0 46 0.5 815850 823154
0 58 0.5 815850 823154
1 65 0.63 815850 826829
0 46 0.5 823200 830504
0 58 0.5 823200 830504
1 65 0.63 826875 832341
0 44 0.5 830550 837854
0 56 0.5 830550 837854
1 66 0.63 832387 837854
0 77 0.5 815850 859904
0 46 0.5 837900 859904
0 58 0.5 837900 859904
1 68 0.63 837900 859904
0 46 0.5 859950 867254
0 58 0.5 859950 867254
0 75 0.5 859950 870929
1 66 0.63 859950 870929
0 46 0.5 867300 874604
0 58 0.5 867300 874604
0 73 0.5 870975 881954
0 46 0.5 874650 881954
0 58 0.5 874650 881954
1 65 0.63 870975 881954
1 46 0.5 874650 881954
0 72 0.5 882000 892979
0 72 0.5 893025 898491
0 74 0.5 898537 904004
0 48 0.63 882000 904004
0 60 0.5 882000 904004
1 64 0.63 882000 904004
0 48 0.5 904050 911354
0 60 0.5 904050 911354
1 64 0.63 904050 915029
0 48 0.5 911399 918704
0 60 0.5 911399 918704
1 64 0.63 915074 920541
0 47 0.5 918749 926054
0 59 0.5 918749 926054
1 65 0.63 920587 926054
1 67 0.63 926099 937079
1 67 0.63 937124 942591
0 76 0.5 904050 948104
0 48 0.5 926099 948104
0 60 0.5 926099 948104
1 69 0.63 942637 948104
0 48 0.5 948149 955454
0 60 0.5 948149 955454
1 70 0.63 948149 959129
0 48 0.5 955499 962804
0 60 0.5 955499 962804
0 79 0.5 948149 970154
0 48 0.5 962849 970154
0 60 0.5 962849 970154
1 72 0.63 959174 970154
1 48 0.5 962849 970154
0 77 0.5 970199 981179
1 69 0.63 970199 981179
0 65 0.5 981224 986691
1 57 0.63 981224 986691
0 65 0.5 986737 992204
0 41 0.63 970199 992204
0 53 0.5 970199 992204
1 57 0.63 986737 992204
0 65 0.5 992249 1003229
1 57 0.63 992249 1003229
0 65 0.5 1003274 1008741
1 57 0.63 1003274 1008741
0 65 0.5 1008787 1014254
0 41 0.5 992249 1014254
0 53 0.5 992249 1014254
1 57 0.63 1008787 1014254
0 65 0.5 1014299 1025279
1 57 0.63 1014299 1025279
0 65 0.5 1025324 1030791
1 57 0.63 1025324 1030791
0 65 0.5 1030837 1036304
0 41 0.5 1014299 1036304
0 53 0.5 1014299 1036304
1 57 0.63 1030837 1036304
0 65 0.5 1036349 1047329
0 43 0.5 1036349 1047329
0 55 0.5 1036349 1047329
1 57 0.63 1036349 1047329
0 65 0.5 1047374 1058354
0 45 0.5 1047374 1058354
0 57 0.63 1047374 1058354
1 57 0.63 1047374 1058354
1 41 0.5 1014299 1058354
0 70 0.5 1058399 1080404
0 46 0.63 1058399 1080404
0 58 0.5 1058399 1080404
1 62 0.63 1058399 1080404
0 46 0.5 1080449 1087754
0 58 0.5 1080449 1087754
1 62 0.63 1080449 1087754
0 46 0.5 1087799 1095104
0 58 0.5 1087799 1095104
1 62 0.63 1087799 1095104
0 44 0.5 1095149 1102454
